,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
116,"Ride It",Regard,2614636,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
117,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)","Super Yei",2603215,https://open.spotify.com/track/5DoLhdU27owX1NMrKLUbUl
118,ROXANNE,"Arizona Zervas",2592413,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
119,"everything i wanted","Billie Eilish",2575589,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
120,Favorito,Camilo,2567386,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
121,"Someone To You",BANNERS,2566401,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
122,"Got It On Me","Pop Smoke",2553382,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
123,"I Don't Care (with Justin Bieber)","Ed Sheeran",2526738,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
124,"Jocelyn Flores",XXXTENTACION,2525836,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
125,Azul,"J Balvin",2518090,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
126,"Ayer Me Llamó Mi Ex (feat. Lenny Santos)",KHEA,2508298,https://open.spotify.com/track/6C6mUonH6MNdSg5pw7kOc9
127,"Wolves (feat. Post Malone)","Big Sean",2470567,https://open.spotify.com/track/33gwZOGJWEZ7dRWPqPxBEZ
128,Perfect,"Ed Sheeran",2464155,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
129,"24 (feat. Lil Baby)","Money Man",2450947,https://open.spotify.com/track/0xUvi7wldroBzaZCengPa5
130,"7 rings","Ariana Grande",2447735,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
131,"Be Alright","Dean Lewis",2447617,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
132,"Don Don","Daddy Yankee",2444023,https://open.spotify.com/track/3kml9ZdpT7UYk1ugkjqOzt
133,"Quiéreme Mientras Se Pueda","Manuel Turizo",2441585,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
134,"All Girls Are The Same","Juice WRLD",2440348,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
135,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",2408930,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
136,"All of Me","John Legend",2368909,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
137,"Shape of You","Ed Sheeran",2364626,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
138,"OK Not To Be OK",Marshmello,2333250,https://open.spotify.com/track/0zzVTGyRrWpQu8Fr28NRAv
139,"hot girl bummer",blackbear,2326659,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
140,"Say So","Doja Cat",2326025,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
141,"Heart Of Glass (Live from the iHeart Festival)","Miley Cyrus",2315156,https://open.spotify.com/track/5i7ThJfYLAzp2DyZuFpF6j
142,Relación,Sech,2305814,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
143,"Beautiful People (feat. Khalid)","Ed Sheeran",2297247,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
144,"Caramelo - Remix",Ozuna,2287887,https://open.spotify.com/track/67jvGGbJmOmVonlyX3mNkV
145,"Without Me",Halsey,2275766,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
146,SAD!,XXXTENTACION,2269304,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
147,"Daddy Issues","The Neighbourhood",2265373,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
148,"rockstar (feat. 21 Savage)","Post Malone",2259206,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
149,"when the party's over","Billie Eilish",2252934,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
150,"In Your Eyes","The Weeknd",2252027,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
151,"Godzilla (feat. Juice WRLD)",Eminem,2249791,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
152,MAMACITA,"Black Eyed Peas",2247945,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
153,"10,000 Hours (with Justin Bieber)","Dan + Shay",2245942,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
154,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,2231751,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
155,"Are You Bored Yet? (feat. Clairo)",Wallows,2222756,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
156,"Stunnin' (feat. Harm Franklin)","Curtis Waters",2216726,https://open.spotify.com/track/2JSmxLqt8h7ZpJJkfuLJvK
157,"After Party","Don Toliver",2214202,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
158,"Lose Somebody",Kygo,2202758,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
159,"Sunday Best",Surfaces,2196491,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
160,"Mamichula - con Nicki Nicole",Trueno,2194651,https://open.spotify.com/track/4pXW6ZAHBz7ODXTRKklWrM
161,"Bohemian Rhapsody - 2011 Mix",Queen,2188974,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
